band_pos	base_score	move_score	stay_score	action	tb_value
# base=0 from=0 to=84 band_start=0 band_end=84
# start
147	18.1975383758544922	40098.6289062500000000	39976.6054687500000000	stay	8
148	18.4396610260009766	40132.1953125000000000	39995.0468750000000000	stay	9
149	18.5677394866943359	40165.9726562500000000	40013.6132812500000000	stay	10
150	18.5805721282958984	40199.8125000000000000	40032.1953125000000000	stay	11
151	18.4268779754638672	40233.4960937500000000	40050.6210937500000000	stay	12
152	18.4524536132812500	40267.1562500000000000	40069.0742187500000000	stay	13
153	18.6319465637207031	40301.0039062500000000	40087.7070312500000000	stay	14
154	18.5420894622802734	40334.8242187500000000	40106.2500000000000000	stay	15
155	18.6705226898193359	40368.7421875000000000	40124.9218750000000000	stay	16
156	18.5292720794677734	40402.5625000000000000	40143.4492187500000000	stay	17
157	18.5677394866943359	40436.3750000000000000	40162.0156250000000000	stay	18
158	18.2356605529785156	40469.8671875000000000	40180.2500000000000000	stay	19
159	18.5292720794677734	40503.5351562500000000	40198.7773437500000000	stay	20
160	18.4268779754638672	40537.2070312500000000	40217.2031250000000000	stay	21
161	18.5164566040039062	40570.9296875000000000	40235.7187500000000000	stay	22
162	18.4780406951904297	40604.6445312500000000	40254.1953125000000000	stay	23
163	18.2992916107177734	40638.1718750000000000	40272.4960937500000000	stay	24
164	18.6062526702880859	40671.9375000000000000	40291.1015625000000000	stay	25
165	18.4524536132812500	40705.6601562500000000	40309.5546875000000000	stay	26
166	18.7091369628906250	40739.5859375000000000	40328.2656250000000000	stay	27
167	18.7606906890869141	40773.6523437500000000	40347.0273437500000000	stay	28
168	18.4396610260009766	40807.4179687500000000	40365.4687500000000000	stay	29
169	18.6962623596191406	40841.3242187500000000	40384.1640625000000000	stay	30
170	18.5420894622802734	40875.1679687500000000	40402.7070312500000000	stay	31
171	18.6962623596191406	40909.1093750000000000	40421.4023437500000000	stay	32
172	18.5164566040039062	40942.9257812500000000	40439.9179687500000000	stay	33
173	18.8510723114013672	40977.0156250000000000	40458.7695312500000000	stay	34
174	18.6448020935058594	41011.0156250000000000	40477.4140625000000000	stay	35
175	18.5934123992919922	41044.8945312500000000	40496.0078125000000000	stay	36
176	18.7091369628906250	41078.8710937500000000	40514.7187500000000000	stay	37
177	18.7735881805419922	41112.9492187500000000	40533.4921875000000000	stay	38
178	18.2865543365478516	41146.5625000000000000	40551.7773437500000000	stay	39
179	18.5677394866943359	41180.2890625000000000	40570.3437500000000000	stay	40
180	18.7993984222412109	41214.3476562500000000	40589.1445312500000000	stay	41
181	18.9028205871582031	41248.5859375000000000	40608.0468750000000000	stay	42
182	18.5164566040039062	41282.4765625000000000	40626.5625000000000000	stay	43
183	18.5420894622802734	41316.2578125000000000	40645.1054687500000000	stay	44
184	18.4268779754638672	41349.9296875000000000	40663.5312500000000000	stay	45
185	18.6190986633300781	41383.7539062500000000	40682.1484375000000000	stay	46
186	18.6319465637207031	41417.6640625000000000	40700.7812500000000000	stay	47
